# 2  # Number of bands below the Fermi level
# 0  # Spin-orbit coupling. No: 0, Yes: 1
# 16 
# 1  0  0    0  1  0    0  0  1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
#-1  0  0    0 -1  0    0  0  1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0 -1  0    1  0  0    0  0  1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0  1  0   -1  0  0    0  0  1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
#-1  0  0    0  1  0    0  0 -1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
# 1  0  0    0 -1  0    0  0 -1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0  1  0    1  0  0    0  0 -1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0 -1  0   -1  0  0    0  0 -1       0.000000   0.000000   0.500000        0.000000    0.000000      0.707107   -0.707107     -0.707107   -0.707107     -0.000000    0.000000
#-1  0  0    0 -1  0    0  0 -1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
# 1  0  0    0  1  0    0  0 -1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0  1  0   -1  0  0    0  0 -1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0 -1  0    1  0  0    0  0 -1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
# 1  0  0    0 -1  0    0  0  1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
#-1  0  0    0  1  0    0  0  1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0 -1  0   -1  0  0    0  0  1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0  1  0    1  0  0    0  0  1       0.000000   0.000000   0.500000        0.000000    0.000000     -0.707107    0.707107      0.707107    0.707107     -0.000000    0.000000
#

  0.000000       0.000000    0.000000    0.000000          1         1     9.9825   1.000000   0.000000       1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000       1.000000   0.000000       1.000000  -0.000000       1.000000   0.000000       1.000000   0.000000      -1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000      -1.000000   0.000000       1.000000  -0.000000       1.000000  -0.000000
  0.284195       0.000000    0.383333    0.000000          2         1    10.5048   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.358368  -0.933580            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.358368   0.933580            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.296552       0.000000    0.400000    0.000000          1         1    10.2812   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.309017   0.951057            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.309017  -0.951057            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.296552       0.000000    0.400000    0.000000          2         1    10.4914   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.309017  -0.951057            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.309017   0.951057            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.308908       0.000000    0.416667    0.000000          1         1    10.3013   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.258819   0.965926            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.258819  -0.965926            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.308908       0.000000    0.416667    0.000000          2         1    10.4775   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.258819  -0.965926            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.258819   0.965926            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.321264       0.000000    0.433333    0.000000          1         1    10.3206   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.207912   0.978148            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.207912  -0.978148            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.321264       0.000000    0.433333    0.000000          2         1    10.4612   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.207912  -0.978148            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.207912   0.978148            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.333620       0.000000    0.450000    0.000000          1         1    10.3393   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.156434   0.987688            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.156434  -0.987688            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.333620       0.000000    0.450000    0.000000          2         1    10.4458   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.156434  -0.987688            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.156434   0.987688            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.345977       0.000000    0.466667    0.000000          1         1    10.3571   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.104528   0.994522            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.104528  -0.994522            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.345977       0.000000    0.466667    0.000000          2         1    10.4293   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.104528  -0.994522            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.104528   0.994522            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.358333       0.000000    0.483333    0.000000          1         1    10.3785   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.052336   0.998630            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.052336  -0.998630            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.358333       0.000000    0.483333    0.000000          2         1    10.4129   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.052336  -0.998630            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.052336   0.998630            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.370689       0.000000    0.500000    0.000000          1         2    10.3960   2.000000   0.000000       0.000000   0.000000            XXX        XXX            XXX        XXX      -0.000000  -0.000000       0.000000  -0.000000            XXX        XXX            XXX        XXX      -0.000000  -0.000000      -0.000000   0.000000            XXX        XXX            XXX        XXX      -0.000000   0.000000      -2.000000  -0.000000            XXX        XXX            XXX        XXX
