 &plot nbnd=  38, nks=    61 /
            0.000000  1.000000  0.000000
 -27.146 -27.146 -27.095 -27.095 -25.881 -25.881 -25.822 -25.822 -25.811 -25.811
 -12.726 -12.726 -12.717 -12.717 -11.798 -11.798 -11.789 -11.789 -11.781 -11.781
  -1.245  -1.245   3.339   3.339   4.539   4.539   6.142   6.142   6.601   6.601
  12.559  12.559  14.432  14.432  15.206  15.206  16.254  16.254
            0.033333  1.000000  0.000000
 -27.145 -27.145 -27.094 -27.094 -25.880 -25.880 -25.821 -25.821 -25.811 -25.811
 -12.725 -12.725 -12.716 -12.716 -11.797 -11.797 -11.789 -11.789 -11.781 -11.781
  -1.244  -1.244   3.326   3.326   4.543   4.543   6.150   6.150   6.609   6.609
  12.573  12.573  14.413  14.413  15.184  15.184  16.247  16.247
            0.066667  1.000000  0.000000
 -27.106 -27.106 -27.032 -27.032 -25.832 -25.832 -25.811 -25.811 -25.717 -25.717
 -12.707 -12.707 -12.672 -12.672 -11.785 -11.785 -11.768 -11.768 -11.717 -11.717
  -1.241  -1.241   3.289   3.289   4.554   4.554   6.168   6.168   6.641   6.641
  12.617  12.617  14.348  14.348  15.130  15.130  16.225  16.225
            0.100000  1.000000 -0.000000
 -27.103 -27.103 -27.029 -27.029 -25.829 -25.829 -25.808 -25.808 -25.715 -25.715
 -12.705 -12.705 -12.670 -12.670 -11.783 -11.783 -11.766 -11.766 -11.716 -11.716
  -1.237  -1.237   3.231   3.231   4.572   4.572   6.179   6.179   6.709   6.709
  12.687  12.687  14.222  14.222  15.073  15.073  16.190  16.190
            0.133333  1.000000  0.000000
 -27.049 -27.049 -26.925 -26.925 -25.792 -25.792 -25.729 -25.729 -25.582 -25.582
 -12.679 -12.679 -12.606 -12.606 -11.766 -11.766 -11.720 -11.720 -11.639 -11.639
  -1.230  -1.230   3.158   3.158   4.598   4.598   6.168   6.168   6.824   6.824
  12.784  12.784  14.027  14.027  15.040  15.040  16.142  16.142
            0.166667  1.000000  0.000000
 -27.167 -27.167 -27.094 -27.094 -25.897 -25.897 -25.850 -25.850 -25.792 -25.792
 -12.753 -12.753 -12.708 -12.708 -11.832 -11.832 -11.799 -11.799 -11.757 -11.757
  -1.224  -1.224   3.076   3.076   4.630   4.630   6.133   6.133   6.983   6.983
