 &plot nbnd=  40, nks=   201 /
            0.000000  0.000000  0.000000
  -99.714  -57.299  -57.299  -56.755  -19.267  -19.111   -6.919   -5.130   -5.098   -4.664
   -2.680   -2.680   -2.615   -2.615   -2.144   -1.305    7.376    7.376    7.937    8.690
    8.840    9.788    9.788    9.815   10.022   10.022   10.281   10.281   10.747   10.747
   10.838   11.204   11.235   14.310   14.907   15.415   15.895   15.946   15.969   15.969
            0.000000  0.018683 -0.000000
  -99.714  -57.299  -57.299  -56.755  -19.267  -19.111   -6.919   -5.131   -5.099   -4.665
   -2.680   -2.680   -2.615   -2.614   -2.144   -1.305    7.375    7.377    7.936    8.690
    8.840    9.787    9.788    9.807   10.019   10.029   10.281   10.282   10.736   10.746
   10.849   11.204   11.236   14.311   14.908   15.415   15.897   15.946   15.969   15.969
            0.000000  0.037366 -0.000000
  -99.714  -57.299  -57.299  -56.755  -19.267  -19.111   -6.918   -5.133   -5.100   -4.668
   -2.680   -2.679   -2.614   -2.611   -2.143   -1.306    7.370    7.377    7.934    8.692
    8.838    9.785    9.785    9.790   10.010   10.049   10.282   10.283   10.713   10.744
   10.876   11.204   11.239   14.314   14.913   15.416   15.904   15.947   15.969   15.969
            0.000000  0.056049 -0.000000
  -99.714  -57.299  -57.299  -56.755  -19.266  -19.111   -6.915   -5.137   -5.102   -4.672
   -2.680   -2.678   -2.614   -2.607   -2.140   -1.308    7.362    7.378    7.932    8.694
    8.836    9.755    9.782    9.793    9.997   10.076   10.282   10.286   10.685   10.741
   10.909   11.204   11.244   14.320   14.921   15.418   15.916   15.947   15.969   15.970
            0.000000  0.074733 -0.000000
  -99.714  -57.299  -57.299  -56.755  -19.266  -19.110   -6.912   -5.143   -5.103   -4.677
   -2.680   -2.677   -2.614   -2.601   -2.137   -1.310    7.351    7.380    7.928    8.697
    8.832    9.720    9.778    9.797    9.979   10.107   10.283   10.289   10.656   10.737
   10.943   11.204   11.252   14.329   14.931   15.419   15.932   15.948   15.970   15.971
           -0.000000  0.093416 -0.000000
  -99.714  -57.299  -57.299  -56.755  -19.265  -19.110   -6.908   -5.153   -5.104   -4.684
   -2.680   -2.676   -2.613   -2.593   -2.134   -1.314    7.337    7.381    7.923    8.701
    8.828    9.682    9.772    9.801    9.957   10.139   10.284   10.294   10.626   10.732
   10.977   11.204   11.262   14.339   14.945   15.422   15.949   15.953   15.970   15.972
            0.000000  0.112099 -0.000000
  -99.714  -57.299  -57.299  -56.755  -19.264  -19.109   -6.903   -5.165   -5.103   -4.693
   -2.680   -2.675   -2.612   -2.584   -2.129   -1.317    7.321    7.384    7.917    8.706
    8.823    9.642    9.766    9.806    9.933   10.171   10.285   10.299   10.595   10.726
   11.011   11.204   11.277   14.352   14.962   15.425   15.950   15.970   15.973   15.976
            0.000000  0.130782  0.000000
  -99.714  -57.299  -57.299  -56.755  -19.263  -19.109   -6.897   -5.180   -5.103   -4.703
   -2.681   -2.673   -2.611   -2.574   -2.124   -1.322    7.301    7.386    7.910    8.710
    8.818    9.601    9.758    9.811    9.907   10.202   10.286   10.306   10.564   10.720
   11.041   11.204   11.296   14.368   14.981   15.428   15.952   15.971   15.974   16.003
            0.000000  0.149465 -0.000000
  -99.714  -57.299  -57.299  -56.755  -19.261  -19.108   -6.890   -5.198   -5.101   -4.715
   -2.681   -2.671   -2.610   -2.562   -2.118   -1.327    7.280    7.389    7.902    8.715
    8.812    9.559    9.749    9.817    9.880   10.232   10.287   10.314   10.531   10.714
   11.068   11.204   11.320   14.385   15.003   15.431   15.953   15.972   15.976   16.030
           -0.000000  0.168148  0.000000
  -99.714  -57.299  -57.299  -56.755  -19.260  -19.108   -6.882   -5.217   -5.099   -4.727
   -2.681   -2.668   -2.609   -2.550   -2.111   -1.333    7.255    7.393    7.893    8.720
    8.806    9.517    9.739    9.823    9.853   10.260   10.289   10.324   10.496   10.709
   11.090   11.204   11.350   14.405   15.027   15.434   15.955   15.972   15.978   16.056
           -0.000000  0.186831 -0.000000
  -99.714  -57.299  -57.299  -56.755  -19.258  -19.107   -6.873   -5.239   -5.096   -4.742
   -2.682   -2.666   -2.608   -2.536   -2.103   -1.339    7.229    7.397    7.884    8.725
    8.799    9.474    9.728    9.826    9.828   10.285   10.291   10.334   10.461   10.705
   11.109   11.204   11.385   14.426   15.054   15.438   15.957   15.973   15.980   16.077
            0.000000  0.205515 -0.000000
  -99.714  -57.299  -57.299  -56.755  -19.256  -19.106   -6.864   -5.262   -5.094   -4.757
   -2.683   -2.663   -2.607   -2.521   -2.094   -1.346    7.200    7.401    7.873    8.729
    8.793    9.431    9.716    9.800    9.833   10.293   10.306   10.346   10.424   10.702
   11.124   11.205   11.424   14.450   15.083   15.442   15.959   15.974   15.983   16.090
            0.000000  0.224198 -0.000000
  -99.714  -57.299  -57.299  -56.755  -19.254  -19.106   -6.853   -5.287   -5.091   -4.773
   -2.684   -2.660   -2.606   -2.506   -2.085   -1.353    7.169    7.406    7.861    8.733
    8.786    9.387    9.703    9.776    9.837   10.295   10.323   10.360   10.386   10.703
   11.136   11.205   11.467   14.475   15.114   15.446   15.961   15.975   15.985   16.096
           -0.000000  0.242881  0.000000
  -99.714  -57.299  -57.299  -56.755  -19.252  -19.105   -6.842   -5.314   -5.087   -4.791
   -2.685   -2.656   -2.604   -2.490   -2.076   -1.360    7.137    7.411    7.848    8.735
    8.779    9.344    9.690    9.753    9.841   10.297   10.335   10.347   10.374   10.706
