# 2  # Number of bands below the Fermi level
# 0  # Spin-orbit coupling. No: 0, Yes: 1
# 16 
# 1  0  0    0  1  0    0  0  1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
#-1  0  0    0 -1  0    0  0  1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0 -1  0    1  0  0    0  0  1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0  1  0   -1  0  0    0  0  1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
#-1  0  0    0  1  0    0  0 -1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
# 1  0  0    0 -1  0    0  0 -1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0  1  0    1  0  0    0  0 -1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0 -1  0   -1  0  0    0  0 -1       0.000000   0.000000   0.500000        0.000000    0.000000      0.707107   -0.707107     -0.707107   -0.707107     -0.000000    0.000000
#-1  0  0    0 -1  0    0  0 -1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
# 1  0  0    0  1  0    0  0 -1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0  1  0   -1  0  0    0  0 -1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0 -1  0    1  0  0    0  0 -1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
# 1  0  0    0 -1  0    0  0  1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
#-1  0  0    0  1  0    0  0  1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0 -1  0   -1  0  0    0  0  1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0  1  0    1  0  0    0  0  1       0.000000   0.000000   0.500000        0.000000    0.000000     -0.707107    0.707107      0.707107    0.707107     -0.000000    0.000000
#

  0.160632       0.000000    0.216667    0.000000          1         1    10.4630   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.777146  -0.629320            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.777146  -0.629320            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.160632       0.000000    0.216667    0.000000          2         1    10.5650   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.777146   0.629320            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.777146   0.629320            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.172988       0.000000    0.233333    0.000000          1         1    10.4660   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.743145  -0.669131            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.743145  -0.669131            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.172988       0.000000    0.233333    0.000000          2         1    10.5637   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.743145   0.669131            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.743145   0.669131            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.185345       0.000000    0.250000    0.000000          1         1    10.4702   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.707107  -0.707107            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.707107  -0.707107            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.185345       0.000000    0.250000    0.000000          2         1    10.5644   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.707107   0.707107            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.707107   0.707107            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.197701       0.000000    0.266667    0.000000          1         1    10.4737   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.669131  -0.743145            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.669131  -0.743145            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.197701       0.000000    0.266667    0.000000          2         1    10.5631   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.669131   0.743145            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.669131   0.743145            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.210057       0.000000    0.283333    0.000000          1         1    10.4777   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.629320  -0.777146            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.629320  -0.777146            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.210057       0.000000    0.283333    0.000000          2         1    10.5620   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.629320   0.777146            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.629320   0.777146            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.222414       0.000000    0.300000    0.000000          1         1    10.4826   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.587785  -0.809017            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.587785  -0.809017            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.222414       0.000000    0.300000    0.000000          2         1    10.5608   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.587785   0.809017            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.587785   0.809017            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
