# 2  # Number of bands below the Fermi level
# 0  # Spin-orbit coupling. No: 0, Yes: 1
# 16 
# 1  0  0    0  1  0    0  0  1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
#-1  0  0    0 -1  0    0  0  1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0 -1  0    1  0  0    0  0  1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0  1  0   -1  0  0    0  0  1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
#-1  0  0    0  1  0    0  0 -1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
# 1  0  0    0 -1  0    0  0 -1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0  1  0    1  0  0    0  0 -1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0 -1  0   -1  0  0    0  0 -1       0.000000   0.000000   0.500000        0.000000    0.000000      0.707107   -0.707107     -0.707107   -0.707107     -0.000000    0.000000
#-1  0  0    0 -1  0    0  0 -1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
# 1  0  0    0  1  0    0  0 -1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0  1  0   -1  0  0    0  0 -1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0 -1  0    1  0  0    0  0 -1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
# 1  0  0    0 -1  0    0  0  1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
#-1  0  0    0  1  0    0  0  1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0 -1  0   -1  0  0    0  0  1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0  1  0    1  0  0    0  0  1       0.000000   0.000000   0.500000        0.000000    0.000000     -0.707107    0.707107      0.707107    0.707107     -0.000000    0.000000
#

  0.308908       0.000000    0.416667    0.000000          2         1    10.5408   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.258819   0.965926            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.258819   0.965926            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.321264       0.000000    0.433333    0.000000          1         1    10.5085   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.207912  -0.978148            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.207912  -0.978148            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.321264       0.000000    0.433333    0.000000          2         1    10.5377   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.207912   0.978148            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.207912   0.978148            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.333620       0.000000    0.450000    0.000000          1         1    10.5133   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.156434  -0.987688            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.156434  -0.987688            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.333620       0.000000    0.450000    0.000000          2         1    10.5343   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.156434   0.987688            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.156434   0.987688            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.345977       0.000000    0.466667    0.000000          1         1    10.5183   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.104528  -0.994522            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.104528  -0.994522            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.345977       0.000000    0.466667    0.000000          2         1    10.5313   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.104528   0.994522            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.104528   0.994522            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.358333       0.000000    0.483333    0.000000          1         1    10.5239   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.052336  -0.998630            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.052336  -0.998630            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.358333       0.000000    0.483333    0.000000          2         1    10.5304   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.052336   0.998630            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.052336   0.998630            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.370689       0.000000    0.500000    0.000000          1         2    10.5273   2.000000   0.000000       0.000000  -0.000000            XXX        XXX            XXX        XXX       0.000000  -0.000000       0.000000   0.000000            XXX        XXX            XXX        XXX       0.000000  -0.000000      -0.000000  -0.000000            XXX        XXX            XXX        XXX       0.000000  -0.000000       2.000000  -0.000000            XXX        XXX            XXX        XXX
