 &plot nbnd= 156, nks=    31 /
            0.000000  0.000000  0.000000
  -12.928  -12.890  -12.878  -12.878  -12.875  -12.875  -12.861  -12.847  -12.834  -12.806
  -12.806  -12.791  -12.653  -12.653  -12.636  -12.635  -12.625  -12.616  -12.616  -12.602
  -12.589  -12.589  -12.586  -12.584  -12.584  -12.581  -12.569  -12.569  -12.569  -12.567
  -12.566  -12.541  -12.531  -12.528  -12.518  -12.518  -12.511  -12.511  -12.509  -12.503
   -9.767   -9.262   -9.262   -8.875   -8.349   -8.286   -7.854   -7.844   -7.844   -7.828
   -7.828   -7.601   -7.492   -7.492   -7.432   -7.419   -1.407   -0.749   -0.749   -0.534
    0.076    0.712    0.864    0.864    3.331    3.753    4.187    4.198    4.198    4.590
    4.615    4.680    4.759    4.788    4.805    4.805    5.005    5.005    5.064    5.172
    5.460    5.591    5.591    5.938    5.982    5.982    6.159    6.166    6.409    6.453
    6.453    6.646    6.646    6.749    6.920    6.963    6.963    7.016    7.035    7.040
    7.040    7.040    7.125    7.245    7.245    7.438    7.487    7.565    7.687    7.816
    7.816    8.055    8.058    8.058    8.151    8.167    8.312    8.312    8.580    8.580
    8.804    8.804    8.842    8.851    8.921    9.102    9.213    9.213    9.983   10.434
   10.573   10.631   11.642   12.149   12.683   12.977   13.318   13.318   13.372   13.736
   14.310   14.310   14.367   14.438   14.583   14.583   14.648   15.021   15.024   15.024
   15.405   15.485   15.773   15.835   15.835   15.923
            0.000000  0.001967  0.000000
  -12.928  -12.894  -12.881  -12.881  -12.878  -12.875  -12.862  -12.849  -12.837  -12.808
  -12.807  -12.791  -12.657  -12.657  -12.638  -12.635  -12.627  -12.617  -12.617  -12.607
  -12.593  -12.589  -12.587  -12.585  -12.585  -12.583  -12.572  -12.571  -12.571  -12.569
  -12.566  -12.542  -12.541  -12.528  -12.524  -12.521  -12.521  -12.520  -12.509  -12.506
   -9.767   -9.262   -9.261   -8.875   -8.349   -8.286   -7.860   -7.844   -7.838   -7.829
   -7.828   -7.602   -7.492   -7.492   -7.432   -7.420   -1.407   -0.750   -0.749   -0.535
    0.077    0.713    0.863    0.863    3.331    3.751    4.184    4.197    4.199    4.590
    4.615    4.679    4.759    4.775    4.805    4.815    5.002    5.005    5.065    5.170
    5.460    5.589    5.591    5.940    5.978    5.982    6.162    6.164    6.395    6.453
    6.467    6.643    6.643    6.751    6.921    6.960    6.962    7.016    7.032    7.036
    7.040    7.044    7.125    7.242    7.244    7.437    7.486    7.561    7.687    7.815
    7.816    8.041    8.057    8.071    8.149    8.167    8.311    8.312    8.579    8.579
    8.801    8.802    8.842    8.851    8.919    9.102    9.211    9.212    9.983   10.433
   10.573   10.631   11.643   12.150   12.682   12.975   13.318   13.318   13.369   13.734
   14.309   14.313   14.366   14.437   14.580   14.581   14.648   15.017   15.024   15.025
   15.406   15.487   15.771   15.834   15.834   15.924
            0.000000  0.003933  0.000000
  -12.927  -12.894  -12.881  -12.880  -12.877  -12.874  -12.861  -12.848  -12.837  -12.808
  -12.807  -12.785  -12.656  -12.653  -12.638  -12.635  -12.627  -12.617  -12.617  -12.607
  -12.592  -12.588  -12.586  -12.585  -12.585  -12.583  -12.572  -12.571  -12.569  -12.569
  -12.562  -12.542  -12.541  -12.528  -12.524  -12.521  -12.520  -12.520  -12.509  -12.502
   -9.766   -9.264   -9.261   -8.876   -8.347   -8.285   -7.870   -7.843   -7.830   -7.829
   -7.827   -7.603   -7.493   -7.492   -7.432   -7.420   -1.406   -0.752   -0.749   -0.535
    0.078    0.713    0.861    0.863    3.333    3.756    4.180    4.197    4.202    4.588
    4.616    4.677    4.758    4.759    4.805    4.836    4.997    5.010    5.068    5.169
    5.461    5.587    5.593    5.946    5.966    5.981    6.161    6.169    6.371    6.454
    6.491    6.638    6.639    6.759    6.923    6.953    6.961    7.016    7.029    7.033
    7.045    7.055    7.127    7.241    7.246    7.440    7.487    7.561    7.687    7.813
    7.818    8.026    8.057    8.086    8.147    8.167    8.310    8.313    8.579    8.579
    8.800    8.801    8.843    8.851    8.919    9.103    9.208    9.211    9.986   10.434
   10.573   10.631   11.648   12.153   12.680   12.974   13.318   13.319   13.363   13.732
   14.307   14.320   14.365   14.436   14.576   14.580   14.649   15.007   15.029   15.029
   15.410   15.495   15.770   15.833   15.833   15.926
            0.000000  0.005900  0.000000
  -12.927  -12.896  -12.883  -12.882  -12.876  -12.872  -12.862  -12.848  -12.838  -12.811
  -12.810  -12.786  -12.656  -12.653  -12.639  -12.637  -12.627  -12.616  -12.614  -12.606
  -12.591  -12.587  -12.586  -12.586  -12.586  -12.584  -12.574  -12.574  -12.570  -12.569
  -12.563  -12.542  -12.542  -12.529  -12.524  -12.521  -12.521  -12.520  -12.515  -12.502
   -9.765   -9.267   -9.260   -8.878   -8.344   -8.284   -7.879   -7.843   -7.831   -7.825
   -7.820   -7.604   -7.493   -7.491   -7.432   -7.421   -1.404   -0.754   -0.749   -0.536
    0.081    0.713    0.858    0.863    3.335    3.758    4.175    4.196    4.207    4.583
    4.618    4.673    4.743    4.760    4.805    4.857    4.989    5.015    5.072    5.166
    5.464    5.582    5.596    5.949    5.954    5.979    6.156    6.179    6.346    6.454
    6.518    6.631    6.633    6.769    6.922    6.943    6.961    7.017    7.025    7.028
    7.049    7.070    7.131    7.238    7.250    7.443    7.487    7.559    7.685    7.810
    7.820    8.010    8.057    8.101    8.144    8.167    8.308    8.314    8.577    8.577
    8.797    8.800    8.844    8.852    8.917    9.103    9.203    9.208    9.989   10.435
   10.573   10.630   11.655   12.158   12.676   12.971   13.318   13.321   13.353   13.728
   14.304   14.333   14.361   14.433   14.569   14.578   14.650   14.991   15.035   15.036
   15.415   15.509   15.766   15.830   15.834   15.930
            0.000000  0.007866  0.000000
  -12.928  -12.894  -12.882  -12.881  -12.876  -12.866  -12.862  -12.846  -12.837  -12.811
  -12.810  -12.780  -12.653  -12.645  -12.638  -12.637  -12.625  -12.615  -12.614  -12.604
  -12.597  -12.590  -12.589  -12.586  -12.583  -12.575  -12.574  -12.574  -12.570  -12.569
  -12.559  -12.541  -12.539  -12.529  -12.518  -12.518  -12.518  -12.518  -12.515  -12.495
   -9.764   -9.270   -9.258   -8.881   -8.339   -8.283   -7.889   -7.841   -7.833   -7.823
   -7.810   -7.606   -7.494   -7.490   -7.432   -7.422   -1.401   -0.758   -0.748   -0.538
    0.085    0.714    0.854    0.862    3.340    3.763    4.168    4.194    4.212    4.578
    4.620    4.669    4.725    4.761    4.804    4.881    4.981    5.026    5.077    5.165
    5.468    5.578    5.601    5.928    5.968    5.978    6.149    6.188    6.322    6.456
    6.545    6.622    6.628    6.781    6.923    6.934    6.963    7.017    7.022    7.022
    7.055    7.088    7.135    7.235    7.256    7.449    7.489    7.558    7.686    7.805
    7.824    7.994    8.058    8.116    8.140    8.167    8.305    8.316    8.576    8.577
    8.794    8.799    8.845    8.853    8.917    9.102    9.196    9.206    9.995   10.438
   10.574   10.629   11.667   12.165   12.672   12.968   13.319   13.323   13.339   13.723
   14.299   14.350   14.357   14.430   14.561   14.576   14.651   14.970   15.045   15.047
   15.424   15.525   15.762   15.826   15.836   15.936
            0.000000  0.009833  0.000000
  -12.922  -12.889  -12.880  -12.879  -12.871  -12.863  -12.861  -12.842  -12.836  -12.811
  -12.807  -12.776  -12.651  -12.643  -12.634  -12.633  -12.621  -12.613  -12.608  -12.601
  -12.595  -12.589  -12.587  -12.583  -12.576  -12.575  -12.573  -12.569  -12.569  -12.567
  -12.555  -12.538  -12.534  -12.528  -12.517  -12.516  -12.515  -12.514  -12.511  -12.491
   -9.761   -9.275   -9.257   -8.884   -8.334   -8.282   -7.899   -7.840   -7.835   -7.819
   -7.800   -7.608   -7.495   -7.488   -7.432   -7.424   -1.398   -0.763   -0.747   -0.539
    0.090    0.716    0.848    0.862    3.345    3.770    4.160    4.194    4.220    4.572
    4.623    4.665    4.712    4.762    4.806    4.910    4.971    5.038    5.082    5.161
    5.473    5.574    5.606    5.904    5.976    5.984    6.141    6.197    6.298    6.458
    6.574    6.612    6.627    6.793    6.921    6.927    6.968    7.014    7.017    7.019
    7.061    7.109    7.141    7.232    7.264    7.455    7.492    7.555    7.687    7.800
    7.830    7.980    8.058    8.133    8.135    8.167    8.302    8.320    8.574    8.576
    8.791    8.798    8.846    8.856    8.916    9.103    9.189    9.204   10.002   10.440
   10.575   10.629   11.680   12.174   12.666   12.965   13.319   13.323   13.326   13.717
   14.293   14.351   14.370   14.429   14.550   14.575   14.653   14.947   15.057   15.060
   15.434   15.543   15.757   15.823   15.841   15.943
            0.000000  0.011799  0.000000
  -12.926  -12.890  -12.881  -12.880  -12.874  -12.866  -12.863  -12.842  -12.836  -12.813
  -12.808  -12.777  -12.651  -12.643  -12.638  -12.636  -12.621  -12.613  -12.610  -12.602
  -12.598  -12.596  -12.591  -12.583  -12.578  -12.576  -12.576  -12.569  -12.569  -12.568
  -12.556  -12.538  -12.535  -12.529  -12.518  -12.517  -12.514  -12.514  -12.513  -12.491
   -9.759   -9.281   -9.255   -8.888   -8.328   -8.280   -7.910   -7.839   -7.837   -7.815
   -7.791   -7.611   -7.496   -7.487   -7.432   -7.426   -1.394   -0.769   -0.747   -0.542
    0.095    0.717    0.842    0.861    3.349    3.778    4.149    4.192    4.227    4.563
    4.625    4.660    4.698    4.762    4.806    4.932    4.959    5.051    5.086    5.154
    5.478    5.568    5.611    5.878    5.973    6.001    6.131    6.203    6.275    6.460
    6.598    6.599    6.625    6.805    6.916    6.920    6.975    7.002    7.016    7.018
    7.067    7.131    7.147    7.226    7.271    7.461    7.492    7.550    7.688    7.793
    7.836    7.965    8.058    8.127    8.147    8.167    8.296    8.323    8.570    8.573
    8.786    8.797    8.848    8.857    8.914    9.102    9.178    9.199   10.009   10.442
   10.574   10.626   11.697   12.185   12.659   12.959   13.304   13.319   13.329   13.710
   14.283   14.343   14.385   14.431   14.537   14.572   14.652   14.922   15.070   15.075
   15.445   15.558   15.751   15.818   15.844   15.949
            0.000000  0.013766  0.000000
  -12.923  -12.889  -12.880  -12.877  -12.871  -12.862  -12.856  -12.841  -12.836  -12.807
  -12.802  -12.768  -12.648  -12.641  -12.638  -12.636  -12.624  -12.610  -12.609  -12.604
  -12.596  -12.589  -12.583  -12.581  -12.578  -12.574  -12.570  -12.568  -12.567  -12.563
  -12.542  -12.538  -12.532  -12.529  -12.520  -12.518  -12.514  -12.514  -12.512  -12.496
   -9.756   -9.288   -9.252   -8.893   -8.320   -8.277   -7.920   -7.840   -7.837   -7.810
   -7.782   -7.614   -7.497   -7.485   -7.432   -7.428   -1.390   -0.777   -0.746   -0.544
    0.103    0.720    0.834    0.860    3.356    3.790    4.140    4.190    4.237    4.553
    4.628    4.656    4.687    4.761    4.807    4.947    4.956    5.065    5.091    5.148
    5.484    5.563    5.615    5.853    5.970    6.020    6.125    6.205    6.253    6.462
    6.586    6.624    6.627    6.817    6.910    6.916    6.982    6.989    7.013    7.018
    7.075    7.154    7.154    7.222    7.280    7.470    7.497    7.546    7.688    7.785
    7.843    7.951    8.059    8.121    8.161    8.167    8.291    8.328    8.568    8.570
    8.782    8.795    8.850    8.860    8.915    9.103    9.165    9.195   10.018   10.446
   10.575   10.624   11.717   12.197   12.652   12.953   13.285   13.320   13.333   13.702
   14.272   14.338   14.391   14.448   14.523   14.571   14.653   14.897   15.086   15.092
   15.458   15.571   15.745   15.811   15.851   15.956
            0.000000  0.015733  0.000000
  -12.922  -12.888  -12.881  -12.879  -12.868  -12.863  -12.857  -12.840  -12.836  -12.808
  -12.802  -12.769  -12.643  -12.639  -12.637  -12.636  -12.623  -12.609  -12.608  -12.603
  -12.596  -12.587  -12.583  -12.580  -12.578  -12.574  -12.570  -12.568  -12.567  -12.565
  -12.542  -12.538  -12.532  -12.530  -12.520  -12.519  -12.514  -12.512  -12.510  -12.492
   -9.752   -9.296   -9.249   -8.898   -8.312   -8.275   -7.930   -7.843   -7.835   -7.805
   -7.772   -7.618   -7.499   -7.483   -7.432   -7.431   -1.384   -0.785   -0.745   -0.547
    0.111    0.722    0.826    0.859    3.363    3.802    4.127    4.188    4.247    4.541
    4.630    4.653    4.675    4.760    4.810    4.936    4.981    5.080    5.093    5.142
    5.492    5.560    5.621    5.827    5.967    6.040    6.115    6.204    6.233    6.464
    6.571    6.630    6.647    6.824    6.902    6.914    6.974    6.992    7.010    7.018
    7.083    7.161    7.177    7.217    7.287    7.481    7.502    7.539    7.689    7.776
    7.852    7.936    8.059    8.111    8.167    8.175    8.285    8.333    8.564    8.567
    8.775    8.794    8.851    8.862    8.913    9.103    9.152    9.190   10.029   10.450
   10.575   10.622   11.740   12.211   12.643   12.945   13.263   13.320   13.335   13.694
   14.258   14.327   14.388   14.475   14.508   14.571   14.653   14.871   15.103   15.111
   15.469   15.580   15.738   15.805   15.862   15.964
            0.000000  0.017699  0.000000
  -12.920  -12.888  -12.881  -12.879  -12.867  -12.862  -12.855  -12.840  -12.837  -12.808
  -12.803  -12.769  -12.644  -12.639  -12.636  -12.632  -12.623  -12.609  -12.607  -12.605
  -12.596  -12.584  -12.582  -12.579  -12.577  -12.574  -12.570  -12.567  -12.567  -12.565
  -12.541  -12.539  -12.532  -12.529  -12.522  -12.521  -12.520  -12.514  -12.510  -12.494
   -9.748   -9.305   -9.245   -8.904   -8.303   -8.272   -7.940   -7.847   -7.833   -7.799
   -7.763   -7.622   -7.500   -7.481   -7.434   -7.432   -1.378   -0.794   -0.743   -0.550
    0.119    0.724    0.816    0.858    3.371    3.815    4.113    4.188    4.257    4.526
    4.633    4.651    4.664    4.759    4.812    4.923    5.006    5.091    5.095    5.137
    5.501    5.558    5.625    5.802    5.962    6.058    6.107    6.200    6.213    6.466
    6.557    6.637    6.668    6.830    6.893    6.916    6.957    7.001    7.007    7.018
    7.091    7.169    7.202    7.213    7.294    7.491    7.508    7.531    7.689    7.766
    7.861    7.922    8.059    8.101    8.167    8.189    8.278    8.338    8.561    8.562
    8.769    8.792    8.852    8.865    8.911    9.103    9.136    9.183   10.039   10.451
   10.574   10.618   11.764   12.226   12.634   12.937   13.241   13.321   13.338   13.686
   14.241   14.313   14.382   14.492   14.507   14.571   14.653   14.846   15.125   15.131
   15.480   15.586   15.730   15.797   15.877   15.973
            0.000000  0.019666  0.000000
  -12.922  -12.888  -12.884  -12.880  -12.872  -12.870  -12.856  -12.844  -12.837  -12.810
  -12.801  -12.775  -12.644  -12.639  -12.638  -12.631  -12.623  -12.610  -12.608  -12.603
  -12.597  -12.588  -12.583  -12.583  -12.575  -12.575  -12.575  -12.574  -12.566  -12.564
  -12.546  -12.540  -12.534  -12.527  -12.522  -12.521  -12.520  -12.515  -12.510  -12.493
   -9.743   -9.314   -9.242   -8.910   -8.293   -8.269   -7.950   -7.852   -7.831   -7.792
   -7.755   -7.627   -7.502   -7.479   -7.438   -7.432   -1.372   -0.804   -0.742   -0.554
    0.128    0.726    0.805    0.857    3.380    3.828    4.097    4.186    4.268    4.512
    4.634    4.649    4.653    4.758    4.816    4.909    5.029    5.084    5.108    5.134
    5.510    5.558    5.627    5.775    5.958    6.077    6.100    6.191    6.195    6.469
    6.542    6.645    6.688    6.832    6.884    6.922    6.937    7.005    7.009    7.019
    7.101    7.176    7.207    7.225    7.299    7.501    7.515    7.521    7.690    7.754
    7.871    7.908    8.059    8.091    8.167    8.202    8.268    8.345    8.557    8.559
    8.761    8.789    8.851    8.868    8.908    9.102    9.118    9.176   10.051   10.453
   10.572   10.614   11.791   12.242   12.624   12.927   13.218   13.321   13.339   13.678
   14.222   14.298   14.374   14.475   14.544   14.574   14.653   14.822   15.146   15.150
   15.490   15.587   15.722   15.790   15.894   15.983
            0.000000  0.021632  0.000000
  -12.925  -12.888  -12.883  -12.879  -12.874  -12.873  -12.860  -12.844  -12.838  -12.811
  -12.801  -12.771  -12.642  -12.640  -12.638  -12.629  -12.621  -12.611  -12.610  -12.602
  -12.598  -12.591  -12.583  -12.582  -12.577  -12.575  -12.574  -12.574  -12.567  -12.562
  -12.546  -12.540  -12.535  -12.525  -12.523  -12.519  -12.518  -12.516  -12.510  -12.487
   -9.738   -9.324   -9.238   -8.917   -8.282   -8.265   -7.961   -7.857   -7.829   -7.785
   -7.746   -7.632   -7.504   -7.477   -7.442   -7.433   -1.364   -0.815   -0.740   -0.558
    0.139    0.729    0.793    0.856    3.389    3.844    4.084    4.184    4.282    4.496
    4.634    4.647    4.648    4.760    4.820    4.895    5.054    5.071    5.123    5.135
    5.521    5.559    5.627    5.752    5.953    6.094    6.097    6.180    6.180    6.471
    6.529    6.655    6.705    6.834    6.874    6.917    6.930    7.002    7.016    7.019
    7.111    7.186    7.201    7.250    7.304    7.511    7.512    7.522    7.690    7.742
    7.881    7.894    8.060    8.080    8.168    8.214    8.260    8.351    8.551    8.554
